materi,ukuran (mm),total,satu bar 6m bisa,nomer bar perlu,kapasitas tidak terpakai (mm),sisa max kapasitas (mm),sisa total (mm)
1/2M + TUTUP,895,2,6,1,3580,630,4210
1/2M + TUTUP,925,10,6,2,1850,450,2750
1/2M + TUTUP,956,2,6,1,3824,264,4088
1/2M + TUTUP,975,6,6,1,0,150,150
1/2M + TUTUP,1063,8,5,2,2126,685,3496
1/2M + TUTUP,1071,6,5,2,4284,645,5574
1/2M + TUTUP,1082,1,5,1,4328,590,4918
1/2M + TUTUP,1100,4,5,1,1100,500,1600
1/2M + TUTUP,1125,1,5,1,4500,375,4875
1/2M + TUTUP,1138,2,5,1,3414,310,3724
1/2M + TUTUP,1145,3,5,1,2290,275,2565
1/2M + TUTUP,1167,3,5,1,2334,165,2499
1/2M + TUTUP,1170,1,5,1,4680,150,4830
1/2M + TUTUP,1205,2,4,1,2410,1180,3590
1/2M + TUTUP,1225,1,4,1,3675,1100,4775
1/2M + TUTUP,1245,2,4,1,2490,1020,3510
1/2M + TUTUP,1263,4,4,1,0,948,948
1/2M + TUTUP,1388,2,4,1,2776,448,3224
1/2M + TUTUP,1638,2,3,1,1638,1086,2724
AMBANG ATAS,670,5,8,1,2010,640,2650
AMBANG ATAS,695,1,8,1,4865,440,5305
AMBANG ATAS,730,5,8,1,2190,160,2350
AMBANG ATAS,755,1,7,1,4530,715,5245
AMBANG ATAS,832,3,7,1,3328,176,3504
AMBANG ATAS,892,3,6,1,2676,648,3324
AMBANG ATAS,951,2,6,1,3804,294,4098
AMBANG ATAS,955,2,6,1,3820,270,4090
AMBANG ATAS,970,1,6,1,4850,180,5030
AMBANG ATAS,975,3,6,1,2925,150,3075
AMBANG ATAS,980,3,6,1,2940,120,3060
AMBANG ATAS,985,4,6,1,1970,90,2060
AMBANG ATAS,1007,3,5,1,2014,965,2979
AMBANG ATAS,1011,2,5,1,3033,945,3978
AMBANG ATAS,1016,2,5,1,3048,920,3968
AMBANG ATAS,1030,1,5,1,4120,850,4970
AMBANG ATAS,1063,4,5,1,1063,685,1748
AMBANG ATAS,1067,7,5,2,3201,665,4531
AMBANG ATAS,1071,3,5,1,2142,645,2787
AMBANG ATAS,1082,1,5,1,4328,590,4918
AMBANG ATAS,1085,3,5,1,2170,575,2745
AMBANG ATAS,1142,2,5,1,3426,290,3716
AMBANG ATAS,1206,3,4,1,1206,1176,2382
AMBANG ATAS,1207,2,4,1,2414,1172,3586
AMBANG ATAS,1230,3,4,1,1230,1080,2310
AMBANG ATAS,1267,2,4,1,2534,932,3466
AMBANG ATAS,1305,2,4,1,2610,780,3390
AMBANG ATAS,1332,6,4,2,2664,672,4008
AMBANG ATAS,1370,1,4,1,4110,520,4630
AMBANG ATAS,1392,6,4,2,2784,432,3648
AMBANG ATAS,1430,1,4,1,4290,280,4570
AMBANG ATAS,1582,2,3,1,1582,1254,2836
AMBANG ATAS,1642,2,3,1,1642,1074,2716
AMBANG BAWAH,670,5,8,1,2010,640,2650
AMBANG BAWAH,695,1,8,1,4865,440,5305
AMBANG BAWAH,730,5,8,1,2190,160,2350
AMBANG BAWAH,755,1,7,1,4530,715,5245
AMBANG BAWAH,832,3,7,1,3328,176,3504
AMBANG BAWAH,892,3,6,1,2676,648,3324
AMBANG BAWAH,951,2,6,1,3804,294,4098
AMBANG BAWAH,955,2,6,1,3820,270,4090
AMBANG BAWAH,970,1,6,1,4850,180,5030
AMBANG BAWAH,975,3,6,1,2925,150,3075
AMBANG BAWAH,980,3,6,1,2940,120,3060
AMBANG BAWAH,985,4,6,1,1970,90,2060
AMBANG BAWAH,1007,3,5,1,2014,965,2979
AMBANG BAWAH,1011,2,5,1,3033,945,3978
AMBANG BAWAH,1016,2,5,1,3048,920,3968
AMBANG BAWAH,1030,1,5,1,4120,850,4970
AMBANG BAWAH,1063,4,5,1,1063,685,1748
AMBANG BAWAH,1067,7,5,2,3201,665,4531
AMBANG BAWAH,1071,3,5,1,2142,645,2787
AMBANG BAWAH,1082,1,5,1,4328,590,4918
AMBANG BAWAH,1085,3,5,1,2170,575,2745
AMBANG BAWAH,1142,2,5,1,3426,290,3716
AMBANG BAWAH,1206,3,4,1,1206,1176,2382
AMBANG BAWAH,1207,2,4,1,2414,1172,3586
AMBANG BAWAH,1230,3,4,1,1230,1080,2310
AMBANG BAWAH,1267,2,4,1,2534,932,3466
AMBANG BAWAH,1305,2,4,1,2610,780,3390
AMBANG BAWAH,1332,6,4,2,2664,672,4008
AMBANG BAWAH,1370,1,4,1,4110,520,4630
AMBANG BAWAH,1392,6,4,2,2784,432,3648
AMBANG BAWAH,1430,1,4,1,4290,280,4570
AMBANG BAWAH,1582,2,3,1,1582,1254,2836
AMBANG BAWAH,1642,2,3,1,1642,1074,2716
M4'',1125,1,5,1,4500,375,4875
M4'',1225,1,4,1,3675,1100,4775
M4'',1500,8,4,2,0,0,0
M4'',2300,23,2,12,2300,1400,19100
M4'' + TATAPAN,2300,36,2,18,0,1400,25200
M4'' + TUTUP GOT,1850,2,3,1,1850,450,2300
M4'' + TUTUP GOT,2225,1,2,1,2225,1550,3775
M4'' + TUTUP GOT,2300,11,2,6,2300,1400,10700
M4'' + TUTUP GOT,2350,3,2,2,2350,1300,4950
M4'' + TUTUP GOT,2400,1,2,1,2400,1200,3600
M4'' + TUTUP GOT,2550,2,2,1,0,900,900
M4'' + TUTUP GOT,3875,1,1,1,0,2125,2125
M4'' + TUTUP GOT,4500,1,1,1,0,1500,1500
M4'' + TUTUP GOT,5500,1,1,1,0,500,500
M4'' + TUTUP GOT,5750,1,1,1,0,250,250
M4'' + TUTUP GOT,5850,1,1,1,0,150,150
M4'' + TUTUP M,850,15,7,3,5100,50,5250
M4'' + TUTUP M,2300,15,2,8,2300,1400,13500
OB4'' + BELL ATAS,1400,5,4,2,4200,400,5000
OB4'' + BELL ATAS,1450,1,4,1,4350,200,4550
OB4'' + BELL ATAS,1725,3,3,1,0,825,825
OB4'' + BELL ATAS,2000,1,3,1,4000,0,4000
OB4'' + BELL ATAS,2075,1,2,1,2075,1850,3925
OB4'' + BELL ATAS,2225,1,2,1,2225,1550,3775
OB4'' + BELL ATAS,2475,2,2,1,0,1050,1050
OB4'' + BELL ATAS,2725,6,2,3,0,550,1650
OB4'' + BELL ATAS,2800,1,2,1,2800,400,3200
OB4'' + BELL ATAS,3225,2,1,2,0,2775,5550
OB4'' + BELL ATAS,3875,1,1,1,0,2125,2125
OB4'' + BELL ATAS,4100,3,1,3,0,1900,5700
OB4'' + BELL ATAS,5600,1,1,1,0,400,400
OB4'' + BELL BAWAH,1400,5,4,2,4200,400,5000
OB4'' + BELL BAWAH,1450,1,4,1,4350,200,4550
OB4'' + BELL BAWAH,1725,3,3,1,0,825,825
OB4'' + BELL BAWAH,2000,1,3,1,4000,0,4000
OB4'' + BELL BAWAH,2075,1,2,1,2075,1850,3925
OB4'' + BELL BAWAH,2725,5,2,3,2725,550,4375
OB4'' + BELL BAWAH,2800,1,2,1,2800,400,3200
OB4'' + BELL BAWAH,3225,1,1,1,0,2775,2775
OB4'' + BELL BAWAH,3875,1,1,1,0,2125,2125
OB4'' + BELL BAWAH,4100,1,1,1,0,1900,1900
OB4'' + LSK,800,3,7,1,3200,400,3600
OB4'' + LSK,900,6,6,1,0,600,600
OB4'' + LSK,2075,1,2,1,2075,1850,3925
OB4'' + LSK,2300,40,2,20,0,1400,28000
OB4'' + TATAPAN,600,24,10,3,3600,0,3600
OB4'' + TATAPAN,1500,56,4,14,0,0,0
OB4'' + TUTUP M,2265,17,2,9,2265,1470,15495
OB4'' + TUTUP M + BELL BAWAH,2225,1,2,1,2225,1550,3775
OB4'' + TUTUP M + BELL BAWAH,2475,2,2,1,0,1050,1050
OB4'' + TUTUP M + BELL BAWAH,2725,1,2,1,2725,550,3275
OB4'' + TUTUP M + BELL BAWAH,3225,1,1,1,0,2775,2775
OB4'' + TUTUP M + BELL BAWAH,4100,2,1,2,0,1900,3800
OB4'' + TUTUP M + BELL BAWAH,5600,1,1,1,0,400,400
OB4'' + TUTUP P,1500,2,4,1,3000,0,3000
PANEL,720,12,8,2,2880,240,3360
PANEL,820,24,7,4,3280,260,4320
PANEL,1002,8,5,2,2004,990,3984
PANEL,2260,36,2,18,0,1480,26640
PANEL,2265,8,2,4,0,1470,5880
T KAIT,530,6,11,1,2650,170,2820
T KAIT,1430,31,4,8,1430,280,3670
T SLIDE,530,24,11,3,4770,170,5280
T SLIDE,1430,124,4,31,0,280,8680
TIANG MOHER DEPAN,2265,17,2,9,2265,1470,15495
TIANG MOHER SAMPING,2265,17,2,9,2265,1470,15495
OB4'' + BELL ATAS,6000,1,1,1,0,0,0
OB4'' + BELL ATAS,175,1,34,1,5775,50,5825
OB4'' + TUTUP M + BELL BAWAH,6000,1,1,1,0,0,0
OB4'' + TUTUP M + BELL BAWAH,175,1,34,1,5775,50,5825
